SYMBOL,SPOT_CLOSE,PREV_SPOT_CLOSE,FUT_NEXT_PRICE,ROLL_COST_PCT_M,ROLL_OI_PCT_M,ROLL_OI_PCT_6M,ROLL_COST_PCT_6M
HINDPETRO,455.25,452.15,458.5,0.6586,90.9123,78.5729,0.3887
HINDUNILVR,2414.1,2497.1,2417.5,0.2073,77.7958,86.1216,0.2729
HINDZINC,462.6,471.2,465.45,0.6814,80.7783,83.3174,0.5847
HUDCO,230.76,225.92,232.28,0.7591,76.845,78.725,0.4535
ICICIBANK,1357.8,1363.1,1365.4,0.6709,86.6839,89.0981,0.4204
ICICIGI,1999.0,2019.0,2006.9,0.4907,86.1224,83.4411,0.3683
ICICIPRULI,612.25,600.5,615.85,0.662,91.8526,87.9582,0.5361
IDEA,10.05,9.44,10.13,0.6958,85.4561,79.755,0.6594
IDFCFIRSTB,79.35,79.2,79.7,0.7076,85.8524,88.5271,0.7036
IEX,140.24,147.52,140.97,0.772,78.7236,80.6204,0.6195
IIFL,557.4,513.8,560.0,0.7285,80.8944,83.9374,0.5254
INDHOTEL,726.5,741.75,729.9,0.7384,85.3088,85.6058,0.6872
INDIANB,873.1,852.9,876.4,0.4815,87.5746,86.8565,-0.0851
INDIGO,5775.0,5809.0,5777.0,0.0866,79.0295,85.252,0.3757
INDUSINDBK,839.9,799.75,844.05,0.734,80.7164,85.3437,0.6033
INDUSTOWER,403.6,385.9,406.5,0.6064,85.9452,86.289,0.5948
INFY,1530.6,1500.2,1538.9,0.5686,90.7553,86.9886,0.0414
INOXWIND,134.7,153.3,135.39,0.8041,80.7286,83.4275,0.5702
IOC,164.12,154.52,164.95,0.6161,84.5827,75.757,0.5618
IRCTC,677.5,721.7,681.0,0.6057,86.3204,81.9416,0.5436
IREDA,141.36,151.47,142.07,0.5805,86.0302,87.798,0.014
IRFC,116.74,122.77,117.35,0.6778,73.2377,84.1291,0.4047
ITC,400.8,417.9,403.55,0.6861,86.655,83.7427,0.664
JINDALSTEL,1022.6,1073.5,1029.8,0.5861,81.4423,82.3636,0.4554
JIOFIN,300.8,307.95,302.5,0.6823,84.8174,87.1112,0.5812
JSWENERGY,476.6,536.35,478.9,0.6727,87.1418,88.0318,0.6225
JSWSTEEL,1112.0,1184.2,1119.6,0.7106,89.6659,92.9278,0.544
JUBLFOOD,593.05,600.75,596.05,0.5652,76.0042,87.1534,0.5347
KALYANKJIL,482.8,504.9,485.45,0.7471,89.0458,85.9551,0.4861
KAYNES,5777.5,6842.0,5818.5,0.7358,81.2984,81.2485,0.6004
KEI,4071.5,4063.8,4045.0,-0.4406,89.3577,81.6261,0.4721
KFINTECH,1050.4,1174.8,1057.1,0.5804,85.3982,88.4676,-0.0109
KOTAKBANK,2069.9,2160.8,2081.1,0.58,85.8028,85.6509,0.6318
KPITTECH,1172.0,1190.3,1178.7,0.6404,90.9286,85.7311,0.3194
LAURUSLABS,977.55,959.65,982.6,0.7692,77.4506,78.5531,0.5453
LICHSGFIN,548.1,585.9,551.1,0.768,79.9439,83.5582,0.4138
LICI,897.65,899.9,901.15,0.6703,80.1991,79.2765,0.095
LODHA,1160.2,1169.0,1167.0,0.6903,91.301,86.6094,0.5634
LT,3996.7,3972.8,4021.3,0.7012,86.3352,81.2422,0.5016
LTF,296.9,268.35,299.0,0.5718,74.04,85.3688,0.3647
LTIM,5833.0,5596.0,5875.5,0.6855,89.8332,91.7305,-0.1167
LUPIN,2042.3,1918.7,2055.1,0.6711,79.2125,80.3591,0.5484
M&M,3669.3,3579.1,3693.6,0.5992,91.1984,89.4069,0.4477
MANAPPURAM,279.05,276.35,281.1,0.7346,81.7516,84.5717,0.5688
MANKIND,2241.9,2406.5,2251.1,0.6618,75.0056,89.1609,0.4422
MARICO,731.35,720.05,736.9,0.7726,94.3323,92.223,0.3525
MARUTI,15889.0,16311.0,15996.0,0.6988,88.6255,78.0505,0.3951
MAXHEALTH,1158.1,1179.7,1162.9,0.6927,89.7883,86.9943,0.5817
MAZDOCK,2643.0,2780.4,2657.7,0.6209,77.9297,83.1196,0.5227
MCX,9867.0,9116.5,9916.0,0.6752,83.2221,81.3478,0.5321
MFSL,1697.9,1524.1,1710.1,0.8076,89.9626,83.7222,0.4824
MIDCPNIFTY,,,13900.0,0.6758,76.9496,81.3356,0.5238
MOTHERSON,110.21,106.98,110.99,0.6347,82.327,82.7624,0.5558
MPHASIS,2797.2,2830.9,2810.0,0.6988,76.9306,76.9014,0.4944
MUTHOOTFIN,3681.4,3182.0,3703.4,0.3278,86.5009,79.2501,0.3621
NATIONALUM,253.97,236.76,255.7,0.7844,90.0298,81.7821,0.3585
NAUKRI,1332.0,1385.7,1338.0,0.6621,93.5676,89.7886,0.4731
NBCC,117.59,110.31,118.4,0.7231,84.6248,81.9671,0.5934
NESTLEIND,1263.2,1271.0,1270.1,0.7296,91.4053,90.9042,0.4405
NHPC,77.23,84.63,77.56,0.7011,82.093,81.53,0.5305
NIFTY,,,26055.4,0.6513,67.5854,77.0911,0.5214
NIFTYNXT50,,,68579.4,0.61,86.3289,85.0174,0.496
NMDC,72.7,74.63,73.22,0.6184,81.9547,82.934,0.381
NTPC,323.7,339.15,325.4,0.6029,79.7648,83.4461,0.2669
NUVAMA,6972.5,7442.5,7017.5,0.631,83.2961,78.4857,0.3778
NYKAA,270.45,256.86,267.08,-1.4356,80.3857,82.7312,-0.8005
OBEROIRLTY,1629.6,1708.1,1637.3,0.6578,92.3662,86.3431,0.0859
OFSS,8084.0,8601.5,8128.0,0.619,82.641,82.4994,0.3273
OIL,421.05,412.75,422.7,0.4635,84.6439,82.2665,0.2139
ONGC,245.35,250.54,246.7,0.7761,85.5775,80.0332,0.3451
PAGEIND,38535.0,40915.0,38540.0,0.2601,90.8781,88.7931,-1.0814
PATANJALI,569.35,593.65,572.35,0.7392,89.3506,84.3643,0.5971
PAYTM,1241.4,1309.7,1246.7,0.7842,78.9932,86.5173,0.6501
PERSISTENT,6370.5,5826.9,6405.5,0.2426,89.5468,83.4047,0.541
PETRONET,272.15,277.85,273.45,0.6441,88.1344,87.9197,0.3989
PFC,361.4,394.6,359.8,-0.3324,79.3733,80.9306,0.2759
PGEL,570.35,565.3,573.4,0.6937,83.489,85.0029,0.6268
PHOENIXLTD,1731.7,1702.0,1739.2,0.7006,87.1337,83.2016,0.4943
PIDILITIND,1466.6,1492.0,1471.6,0.5947,83.969,87.2506,0.4677
PIIND,3448.5,3587.2,3417.0,-1.0712,80.4154,88.8977,0.4169
PNB,123.05,121.13,123.66,0.5775,79.0925,84.2053,0.5886
PNBHOUSING,881.45,933.5,887.7,0.7605,87.1694,85.2871,0.5108
POLICYBZR,1765.9,1775.0,1779.3,0.6676,88.6703,88.2548,0.495
POLYCAB,7439.0,7510.0,7483.0,0.8083,85.0494,82.3684,0.5678
POWERGRID,273.45,288.25,274.8,0.7516,86.6226,82.9386,0.234
POWERINDIA,21742.0,16956.0,21888.0,0.5697,88.6857,90.2854,0.5438
PPLPHARMA,184.87,202.1,185.4,0.3627,94.6429,79.2837,0.5396
PRESTIGE,1655.9,1758.2,1668.2,0.6638,85.762,84.9442,0.561
RBLBANK,308.25,325.1,310.25,0.7632,75.9854,77.0098,0.9331
RECLTD,351.75,368.95,353.45,0.6693,75.204,82.7518,0.2312
RELIANCE,1539.7,1486.9,1547.6,0.7552,85.5509,87.6327,0.5501
RVNL,322.9,328.85,304.05,-5.9106,98.0099,93.1379,-1.3863
SAIL,132.25,132.16,132.8,0.6594,68.1807,83.6105,0.262
SAMMAANCAP,151.74,187.26,152.66,0.8123,72.4201,93.175,0.9092
SBICARD,873.4,905.75,878.0,0.297,76.714,87.9716,-0.7661
SBILIFE,2031.0,1936.8,2036.8,0.2609,89.1638,84.6714,0.5967
SBIN,983.6,930.25,988.45,0.7132,85.5116,81.6441,0.6335
SHREECEM,26455.0,28585.0,26570.0,0.6439,82.649,86.1478,0.2535
SHRIRAMFIN,838.25,723.7,843.45,0.4705,91.4965,89.8085,0.4174
SIEMENS,3181.1,3109.7,3200.7,0.7016,87.7998,88.5957,0.6014
SOLARINDS,13267.0,13853.0,13354.0,0.7469,83.1395,85.7598,0.5565
SONACOMS,501.3,484.35,504.05,0.6892,82.88,85.4658,0.2043
SRF,2793.8,3027.7,2810.5,0.6446,82.2549,81.8046,0.6306
SUNPHARMA,1776.8,1687.0,1783.8,0.5921,91.1087,85.1822,0.4292
SUPREMEIND,3427.3,3814.2,3444.1,0.687,77.1616,91.4997,0.4238
SUZLON,54.19,56.22,54.55,0.6458,78.6125,83.7317,0.5366
SYNGENE,642.05,657.5,646.6,0.7087,87.1955,85.906,0.6041
TATACONSUM,1177.7,1168.9,1183.6,0.6548,95.4016,92.2604,0.5486
TATAELXSI,5164.0,5545.0,5193.5,0.5421,90.9964,90.8366,-0.6226
TATAPOWER,380.0,398.65,381.6,0.5931,80.7119,84.998,0.5637
