TradDt,SYMBOL,SPOT_CLOSE
2025-11-25,20MICRONS,187.98
2025-11-25,21STCENMGM,37.53
2025-11-25,360ONE,1120.0
2025-11-25,GOLD360,122.25
2025-11-25,SILVER360,153.51
2025-11-25,3IINFOLTD,16.97
2025-11-25,3MINDIA,35290.0
2025-11-25,3PLAND,40.01
2025-11-25,5PAISA,333.55
2025-11-25,63MOONS,722.55
2025-11-25,ABCOTS,408.8
2025-11-25,ABINFRA,18.68
2025-11-25,A2ZINFRA,15.28
2025-11-25,AADHARHFC,487.05
2025-11-25,AAKASH,8.8
2025-11-25,AARON,186.64
2025-11-25,AARTECH,48.13
2025-11-25,AARTIDRUGS,428.2
2025-11-25,AARTIIND,379.75
2025-11-25,AARTIPHARM,678.9
2025-11-25,AARTISURF,425.4
2025-11-25,AARVI,130.48
2025-11-25,AAVAS,1618.7
2025-11-25,AFSL,201.26
2025-11-25,ABB,5070.5
2025-11-25,ABBOTINDIA,30205.0
2025-11-25,ACC,1869.1
2025-11-25,ACCELYA,1297.4
2025-11-25,ACCURACY,6.03
2025-11-25,ACEINTEG,22.22
2025-11-25,ACMESOLAR,236.85
2025-11-25,ACE,969.3
2025-11-25,ACUTAAS,1784.1
2025-11-25,ADANIENSOL,971.5
2025-11-25,ADANIENT,2332.9
2025-11-25,ADANIGREEN,1011.6
2025-11-25,ADANIPORTS,1483.9
2025-11-25,ADANIPOWER,146.84
2025-11-25,ATGL,604.75
2025-11-25,ADFFOODS,203.84
2025-11-25,ABSLAMC,725.7
2025-11-25,ABCAPITAL,345.45
2025-11-25,ABFRL,75.43
2025-11-25,ABLBL,129.15
2025-11-25,BIRLAMONEY,154.39
2025-11-25,ABREL,1733.7
2025-11-25,CPPLUS,1625.3
2025-11-25,AVL,534.95
2025-11-25,BSLGOLDETF,110.06
2025-11-25,BSLNIFTY,30.11
2025-11-25,ADOR,1091.1
2025-11-25,ADROITINFO,10.22
2025-11-25,ADVANCE,123.73
2025-11-25,ADVENZYMES,312.45
2025-11-25,ADVANIHOTR,53.77
2025-11-25,AEGISLOG,766.55
2025-11-25,AEGISVOPAK,254.95
2025-11-25,AEROENTER,85.4
2025-11-25,AEROFLEX,184.37
2025-11-25,AERONEU,76.7
2025-11-25,AETHER,892.25
2025-11-25,AFCONS,402.0
2025-11-25,AFFLE,1680.9
2025-11-25,AFFORDABLE,213.85
2025-11-25,AGARIND,774.95
2025-11-25,AGI,756.65
2025-11-25,AGIIL,283.7
2025-11-25,AGRITECH,107.06
2025-11-25,AGROPHOS,38.7
2025-11-25,AHLADA,52.05
2025-11-25,AHLUCONT,973.85
2025-11-25,AIAENG,3825.5
2025-11-25,GOLDTECH,55.22
2025-11-25,AIRAN,19.69
2025-11-25,AIROLAM,104.39
2025-11-25,AJANTPHARM,2509.2
2025-11-25,AJAXENGG,628.15
2025-11-25,AJMERA,998.1
2025-11-25,AJOONI,4.37
2025-11-25,AKASH,25.61
2025-11-25,AKG,12.65
2025-11-25,AKI,7.64
2025-11-25,AFIL,7.25
2025-11-25,AKSHOPTFBR,6.69
2025-11-25,AKSHARCHEM,271.15
2025-11-25,AKUMS,424.4
2025-11-25,AKZOINDIA,3397.5
2025-11-25,ALANKIT,10.96
2025-11-25,ALBERTDAVD,784.1
2025-11-25,ALEMBICLTD,97.77
2025-11-25,APLLTD,905.15
2025-11-25,ALICON,892.2
2025-11-25,ALIVUS,884.75
2025-11-25,ALKALI,83.07
2025-11-25,ALKEM,5701.0
2025-11-25,ALKYLAMINE,1714.1
2025-11-25,ALLTIME,275.55
2025-11-25,ATL,27.09
2025-11-25,ALLDIGI,825.85
2025-11-25,ABDL,660.6
2025-11-25,ADSL,160.51
2025-11-25,ALMONDZ,16.99
2025-11-25,ALOKINDS,16.6
2025-11-25,ALPA,76.74
2025-11-25,ALPHAGEO,224.6
2025-11-25,ALPSINDUS,1.88
2025-11-25,AMANTA,111.16
2025-11-25,ARE&M,945.6
2025-11-25,AMBER,7138.0
2025-11-25,AMBICAAGAR,25.49
2025-11-25,AMBIKCO,1295.5
2025-11-25,AMBUJACEM,545.85
2025-11-25,AMDIND,53.53
2025-11-25,AMNPLST,199.4
2025-11-25,AMJLAND,52.15
2025-11-25,AMRUTANJAN,683.2
2025-11-25,ARSSBL,715.75
2025-11-25,ANANDRATHI,2888.8
2025-11-25,ANANTRAJ,594.4
2025-11-25,ANDHRAPAP,68.06
2025-11-25,ANDHRSUGAR,75.32
2025-11-25,ANGELONE,2687.7
2025-11-25,ANIKINDS,65.83
2025-11-25,APCL,120.22
2025-11-25,ANMOL,14.49
2025-11-25,ANTGRAPHIC,0.96
2025-11-25,ANTELOPUS,403.5
2025-11-25,ANTHEM,634.3
2025-11-25,AWHCL,456.1
2025-11-25,ANUHPHR,77.23
2025-11-25,ANURAS,1225.0
2025-11-25,AONEGOLD,11.64
2025-11-25,AONELIQUID,1035.75
2025-11-25,AONENIFTY,10.61
2025-11-25,AONETOTAL,11.96
2025-11-25,APARINDS,8932.0
2025-11-25,APCOTEXIND,403.35
2025-11-25,APEX,311.75
2025-11-25,APLAPOLLO,1698.4
2025-11-25,APOLLOHOSP,7330.5
2025-11-25,APOLLO,272.65
2025-11-25,APOLLOPIPE,300.3
2025-11-25,APOLSINHOT,1295.4
2025-11-25,APOLLOTYRE,522.05
2025-11-25,APTECHT,101.59
2025-11-25,APTUS,280.5
2025-11-25,ACI,531.45
2025-11-25,ADL,73.45
2025-11-25,ARCHIDPLY,89.97
2025-11-25,ARCHIES,19.03
2025-11-25,ARIES,347.3
2025-11-25,ARIHANTCAP,98.92
2025-11-25,ARIHANTSUP,349.35
2025-11-25,ARISINFRA,142.22
2025-11-25,ARKADE,161.8
2025-11-25,ARMANFIN,1634.1
2025-11-25,AROGRANITE,35.07
2025-11-25,ARROWGREEN,534.3
2025-11-25,ARTNIRMAN,49.5
2025-11-25,ARTEMISMED,288.1
2025-11-25,ARVEE,163.77
2025-11-25,ARVINDFASN,507.6
2025-11-25,ARVIND,357.05
2025-11-25,ARVSMART,579.6
2025-11-25,ASAHIINDIA,1029.25
2025-11-25,ASAHISONG,247.0
2025-11-25,ASHAPURMIN,701.55
2025-11-25,ASHIANA,301.55
2025-11-25,ASHIMASYN,19.22
2025-11-25,ASHOKLEY,145.83
2025-11-25,ASHOKA,177.7
2025-11-25,ASHOKAMET,15.77
2025-11-25,ASIANENE,300.95
2025-11-25,ASIANTILES,65.82
2025-11-25,AHLEAST,138.37
2025-11-25,ASIANHOTNR,329.05
2025-11-25,ASIANPAINT,2875.8
2025-11-25,ASKAUTOLTD,476.6
2025-11-25,ASPINWALL,246.65
2025-11-25,ASALCBR,974.7
2025-11-25,ASTEC,918.75
2025-11-25,ASTERDM,660.0
2025-11-25,ASTRAMICRO,943.7
2025-11-25,ASTRAL,1465.5
2025-11-25,ASTRAZEN,9026.0
2025-11-25,ASTRON,7.05
2025-11-25,ATALREAL,23.18
2025-11-25,ATAM,83.64
2025-11-25,ATHERENERG,684.95
2025-11-25,ATLANTAELE,972.95
2025-11-25,ATLASCYCLE,91.7
2025-11-25,ATULAUTO,449.3
2025-11-25,ATUL,5971.5
2025-11-25,AUBANK,944.05
2025-11-25,AURIGROW,0.52
2025-11-25,AURIONPRO,1069.2
2025-11-25,AUROPHARMA,1208.0
2025-11-25,AURUM,161.93
2025-11-25,AUSOMENT,109.47
2025-11-25,AIIL,2624.8
2025-11-25,AUTOIND,63.21
2025-11-25,AUTOAXLES,1594.9
2025-11-25,ASAL,517.05
2025-11-25,AVADHSUGAR,381.1
2025-11-25,AVALON,968.9
2025-11-25,AVANTEL,151.21
2025-11-25,AVANTIFEED,826.35
2025-11-25,DMART,3988.6
2025-11-25,AVG,197.23
2025-11-25,AVONMORE,18.5
2025-11-25,AVROIND,130.2
2025-11-25,AVTNPL,68.93
2025-11-25,AWFIS,537.25
2025-11-25,AWL,271.45
2025-11-25,AXISBANK,1266.3
2025-11-25,AXISGOLD,103.99
2025-11-25,AXISBNKETF,603.77
2025-11-25,AXISBPSETF,13.06
2025-11-25,AXISCETF,127.64
2025-11-25,AXISHCETF,150.71
2025-11-25,AXISILVER,154.94
2025-11-25,AXISNIFTY,284.32
2025-11-25,AXISTECETF,401.09
2025-11-25,AXISVALUE,30.24
2025-11-25,AXSENSEX,87.27
2025-11-25,AXITA,8.24
2025-11-25,AYMSYNTEX,164.35
2025-11-25,AZAD,1622.4
2025-11-25,BBTCL,204.16
2025-11-25,BAGFILMS,6.18
2025-11-25,BLKASHYAP,47.69
2025-11-25,STYLEBAAZA,295.1
2025-11-25,BAIDFIN,10.17
2025-11-25,BAJAJ-AUTO,9048.0
2025-11-25,BAJAJCON,262.2
2025-11-25,BAJAJELEC,488.8
2025-11-25,BAJFINANCE,986.2
2025-11-25,BAJAJFINSV,2030.2
2025-11-25,BAJAJHCARE,429.25
2025-11-25,BAJAJHIND,20.35
2025-11-25,BAJAJHLDNG,11640.0
2025-11-25,BAJAJHFL,104.96
2025-11-25,BAJEL,178.12
2025-11-25,BALPHARMA,74.21
2025-11-25,BALAMINES,1171.9
2025-11-25,BALAJITELE,116.52
2025-11-25,BALAXI,38.18
2025-11-25,BALKRISIND,2304.8
2025-11-25,BALKRISHNA,21.01
2025-11-25,BALMLAWRIE,185.21
2025-11-25,BALRAMCHIN,449.85
2025-11-25,BALUFORGE,623.15
2025-11-25,BANARBEADS,128.77
2025-11-25,BANCOINDIA,673.65
2025-11-25,BANDHANBNK,149.63
2025-11-25,IDFNIFTYET,284.5
2025-11-25,BANG,53.14
2025-11-25,BANKBARODA,287.25
2025-11-25,BANKINDIA,147.21
2025-11-25,MAHABANK,59.61
2025-11-25,BANKA,73.78
2025-11-25,BASML,28.29
2025-11-25,BANARISUG,3601.8
2025-11-25,BANSALWIRE,318.85
2025-11-25,BANSWRAS,119.79
2025-11-25,BBNPNBETF,59.33
2025-11-25,BBNPPGOLD,120.9
2025-11-25,BASF,4228.2
2025-11-25,BATAINDIA,1006.3
2025-11-25,BAYERCROP,4607.5
2025-11-25,BCLIND,34.38
2025-11-25,BEARDSELL,30.24
2025-11-25,BEDMUTHA,102.15
2025-11-25,BELLACASA,421.15
2025-11-25,BELRISE,157.92
2025-11-25,BLAL,201.66
2025-11-25,BEML,1841.3
2025-11-25,BERGEPAINT,569.15
2025-11-25,BESTAGRO,301.7
2025-11-25,BETA,1636.6
2025-11-25,BFINVEST,437.15
2025-11-25,BANKBETF,59.45
2025-11-25,LIQUIDBETF,1058.04
2025-11-25,NIFTYBETF,263.83
2025-11-25,BHAGERIA,183.5
