SYMBOL,FUT_CURR_PRICE,FUT_NEXT_PRICE,ROLL_COST_PCT_M,ROLL_OI_PCT_M
ETERNAL,301.95,303.9,0.6458,88.2508
EXIDEIND,360.85,363.65,0.7759,78.9927
FEDERALBNK,255.58,255.62,0.0157,86.1852
FORTIS,920.7,926.9,0.6734,76.8788
GAIL,180.07,181.13,0.5887,79.9431
GLENMARK,1877.7,1891.7,0.7456,89.5291
GMRAIRPORT,103.99,104.74,0.7212,79.022
GODREJCP,1144.6,1151.6,0.6116,82.0626
GODREJPROP,2090.8,2105.8,0.7174,85.065
GRASIM,2686.5,2704.6,0.6737,88.4744
HAL,4433.7,4462.1,0.6405,78.9854
HAVELLS,1416.3,1425.4,0.6425,87.8746
HCLTECH,1598.1,1610.2,0.7571,94.9835
HDFCAMC,5338.5,5374.0,0.665,76.6509
HDFCBANK,988.65,995.0,0.6423,90.2809
HDFCLIFE,767.2,770.9,0.4823,78.3838
HEROMOTOCO,6085.5,6110.5,0.4108,91.8371
HINDALCO,788.85,792.6,0.4754,88.4791
HINDPETRO,455.5,458.5,0.6586,90.9123
HINDUNILVR,2412.5,2417.5,0.2073,77.7958
HINDZINC,462.3,465.45,0.6814,80.7783
HUDCO,230.53,232.28,0.7591,76.845
ICICIBANK,1356.3,1365.4,0.6709,86.6839
ICICIGI,1997.1,2006.9,0.4907,86.1224
ICICIPRULI,611.8,615.85,0.662,91.8526
IDEA,10.06,10.13,0.6958,85.4561
IDFCFIRSTB,79.14,79.7,0.7076,85.8524
IEX,139.89,140.97,0.772,78.7236
IIFL,555.95,560.0,0.7285,80.8944
INDHOTEL,724.55,729.9,0.7384,85.3088
INDIANB,872.2,876.4,0.4815,87.5746
INDIGO,5772.0,5777.0,0.0866,79.0295
INDUSINDBK,837.9,844.05,0.734,80.7164
INDUSTOWER,404.05,406.5,0.6064,85.9452
INFY,1530.2,1538.9,0.5686,90.7553
INOXWIND,134.31,135.39,0.8041,80.7286
IOC,163.94,164.95,0.6161,84.5827
IRCTC,676.9,681.0,0.6057,86.3204
IREDA,141.25,142.07,0.5805,86.0302
IRFC,116.56,117.35,0.6778,73.2377
ITC,400.8,403.55,0.6861,86.655
JINDALSTEL,1023.8,1029.8,0.5861,81.4423
JIOFIN,300.45,302.5,0.6823,84.8174
JSWENERGY,475.7,478.9,0.6727,87.1418
JSWSTEEL,1111.7,1119.6,0.7106,89.6659
JUBLFOOD,592.7,596.05,0.5652,76.0042
KALYANKJIL,481.85,485.45,0.7471,89.0458
KAYNES,5776.0,5818.5,0.7358,81.2984
KEI,4062.9,4045.0,-0.4406,89.3577
KFINTECH,1051.0,1057.1,0.5804,85.3982
KOTAKBANK,2069.1,2081.1,0.58,85.8028
KPITTECH,1171.2,1178.7,0.6404,90.9286
LAURUSLABS,975.1,982.6,0.7692,77.4506
LICHSGFIN,546.9,551.1,0.768,79.9439
LICI,895.15,901.15,0.6703,80.1991
LODHA,1159.0,1167.0,0.6903,91.301
LT,3993.3,4021.3,0.7012,86.3352
LTF,297.3,299.0,0.5718,74.04
LTIM,5835.5,5875.5,0.6855,89.8332
LUPIN,2041.4,2055.1,0.6711,79.2125
M&M,3671.6,3693.6,0.5992,91.1984
MANAPPURAM,279.05,281.1,0.7346,81.7516
MANKIND,2236.3,2251.1,0.6618,75.0056
MARICO,731.25,736.9,0.7726,94.3323
MARUTI,15885.0,15996.0,0.6988,88.6255
MAXHEALTH,1154.9,1162.9,0.6927,89.7883
MAZDOCK,2641.3,2657.7,0.6209,77.9297
MCX,9849.5,9916.0,0.6752,83.2221
MFSL,1696.4,1710.1,0.8076,89.9626
MIDCPNIFTY,13806.7,13900.0,0.6758,76.9496
MOTHERSON,110.29,110.99,0.6347,82.327
MPHASIS,2790.5,2810.0,0.6988,76.9306
MUTHOOTFIN,3691.3,3703.4,0.3278,86.5009
NATIONALUM,253.71,255.7,0.7844,90.0298
NAUKRI,1329.2,1338.0,0.6621,93.5676
NBCC,117.55,118.4,0.7231,84.6248
NESTLEIND,1260.9,1270.1,0.7296,91.4053
NHPC,77.02,77.56,0.7011,82.093
NIFTY,25886.8,26055.4,0.6513,67.5854
NIFTYNXT50,68163.6,68579.4,0.61,86.3289
NMDC,72.77,73.22,0.6184,81.9547
NTPC,323.45,325.4,0.6029,79.7648
NUVAMA,6973.5,7017.5,0.631,83.2961
NYKAA,270.97,267.08,-1.4356,80.3857
OBEROIRLTY,1626.6,1637.3,0.6578,92.3662
OFSS,8078.0,8128.0,0.619,82.641
OIL,420.75,422.7,0.4635,84.6439
ONGC,244.8,246.7,0.7761,85.5775
PAGEIND,38440.0,38540.0,0.2601,90.8781
PATANJALI,568.15,572.35,0.7392,89.3506
PAYTM,1237.0,1246.7,0.7842,78.9932
PERSISTENT,6390.0,6405.5,0.2426,89.5468
PETRONET,271.7,273.45,0.6441,88.1344
PFC,361.0,359.8,-0.3324,79.3733
PGEL,569.45,573.4,0.6937,83.489
PHOENIXLTD,1727.1,1739.2,0.7006,87.1337
PIDILITIND,1462.9,1471.6,0.5947,83.969
PIIND,3454.0,3417.0,-1.0712,80.4154
PNB,122.95,123.66,0.5775,79.0925
PNBHOUSING,881.0,887.7,0.7605,87.1694
POLICYBZR,1767.5,1779.3,0.6676,88.6703
POLYCAB,7423.0,7483.0,0.8083,85.0494
POWERGRID,272.75,274.8,0.7516,86.6226
POWERINDIA,21764.0,21888.0,0.5697,88.6857
PPLPHARMA,184.73,185.4,0.3627,94.6429
PRESTIGE,1657.2,1668.2,0.6638,85.762
RBLBANK,307.9,310.25,0.7632,75.9854
RECLTD,351.1,353.45,0.6693,75.204
RELIANCE,1536.0,1547.6,0.7552,85.5509
RVNL,323.15,304.05,-5.9106,98.0099
SAIL,131.93,132.8,0.6594,68.1807
SAMMAANCAP,151.43,152.66,0.8123,72.4201
SBICARD,875.4,878.0,0.297,76.714
SBILIFE,2031.5,2036.8,0.2609,89.1638
SBIN,981.45,988.45,0.7132,85.5116
SHREECEM,26400.0,26570.0,0.6439,82.649
SHRIRAMFIN,839.5,843.45,0.4705,91.4965
SIEMENS,3178.4,3200.7,0.7016,87.7998
SOLARINDS,13255.0,13354.0,0.7469,83.1395
SONACOMS,500.6,504.05,0.6892,82.88
SRF,2792.5,2810.5,0.6446,82.2549
SUNPHARMA,1773.3,1783.8,0.5921,91.1087
SUPREMEIND,3420.6,3444.1,0.687,77.1616
SUZLON,54.2,54.55,0.6458,78.6125
SYNGENE,642.05,646.6,0.7087,87.1955
TATACONSUM,1175.9,1183.6,0.6548,95.4016
TATAELXSI,5165.5,5193.5,0.5421,90.9964
TATAPOWER,379.35,381.6,0.5931,80.7119
TATASTEEL,166.07,167.2,0.6804,80.9074
TATATECH,668.3,672.55,0.6359,88.7054
TCS,3112.6,3135.5,0.7357,90.4118
TECHM,1492.0,1502.1,0.6769,92.5954
TIINDIA,2882.7,2900.9,0.6314,89.7557
TITAN,3859.4,3881.6,0.5752,85.3321
TMPV,352.5,355.0,0.7092,92.9341
TORNTPHARM,3743.1,3769.6,0.708,89.3633
TORNTPOWER,1289.4,1298.5,0.7058,84.7863
TRENT,4234.8,4266.3,0.7438,78.6177
TVSMOTOR,3445.7,3464.2,0.5369,79.7155
ULTRACEMCO,11559.0,11637.0,0.6748,81.1469
UNIONBANK,152.98,153.85,0.5687,88.4318
UNITDSPR,1428.4,1437.6,0.6441,83.5407
UNOMINDA,1283.5,1292.4,0.6934,92.155
UPL,749.5,755.45,0.7939,84.9001
VBL,448.45,451.15,0.6021,76.6427
VEDL,504.25,507.65,0.6743,85.8179
VOLTAS,1353.7,1344.4,-0.687,86.1767
WIPRO,246.19,246.02,-0.0691,89.9845
YESBANK,22.65,22.81,0.7064,82.2903
ZYDUSLIFE,926.85,933.0,0.6635,84.7478
